station_id,max_consecutive_dry_days,max_consecutive_hot_days,cluster,rawan_krisis
96001,27,1,0,0
96009,328,1,0,0
96011,22,7,0,0
96015,18,1,0,0
96017,28,6,0,0
96031,30,5,0,0
96033,24,2,0,0
96035,31,7,0,0
96037,28,5,0,0
96039,29,0,0,0
96041,21,10,0,0
96071,36,2,0,0
96073,15,10,0,0
96075,14,1,0,0
96077,0,0,0,0
96087,68,1,0,0
96089,65,1,0,0
96091,50,0,0,0
96107,24,1,0,0
96109,19,4,0,0
96145,31,2,0,0
96147,30,1,0,0
96161,18,3,0,0
96163,19,1,0,0
96165,12,0,0,0
96167,34,3,0,0
96169,9,0,0,0
96171,23,1,0,0
96179,29,1,0,0
96191,44,2,0,0
96195,52,3,0,0
96207,49,1,0,0
96221,42,4,0,0
96223,78,7,0,0
96237,69,0,0,0
96239,37,1,0,0
96247,112,3,0,0
96249,61,3,0,0
96253,35,1,0,0
96255,35,1,0,0
96257,23,0,0,0
96291,40,7,0,0
96293,46,2,0,0
96295,75,14,1,1
96297,46,13,1,1
96503,273,1,0,0
96505,16,0,0,0
96509,10,1,0,0
96525,16,4,0,0
96529,21,8,0,0
96535,25,4,0,0
96557,20,6,0,0
96559,31,7,0,0
96565,18,3,0,0
96581,23,2,0,0
96583,38,1,0,0
96585,32,11,0,0
96595,23,4,0,0
96607,37,5,0,0
96615,43,2,0,0
96633,37,3,0,0
96645,29,3,0,0
96651,58,4,0,0
96653,22,3,0,0
96655,31,4,0,0
96685,367,21,1,1
96687,28,5,0,0
96695,61,1,0,0
96733,52,12,0,0
96735,64,6,0,0
96737,56,8,0,0
96739,59,9,0,0
96741,122,4,0,0
96745,115,5,0,0
96747,91,10,0,0
96749,46,2,0,0
96751,37,0,0,0
96753,26,4,0,0
96783,49,1,0,0
96791,174,37,1,1
96793,168,29,1,1
96797,93,2,0,0
96805,71,1,0,0
96807,2,0,0,0
96835,67,10,0,0
96837,75,6,0,0
96839,67,14,1,1
96851,62,1,0,0
96855,138,2,0,0
96925,145,1,0,0
96933,153,21,1,1
96935,121,5,0,0
96937,186,15,1,1
96939,112,1,0,0
96943,98,0,0,0
96945,104,0,0,0
96949,150,6,0,0
96973,135,3,0,0
96975,119,1,0,0
96987,82,6,0,0
97008,30,0,0,0
97010,38,0,0,0
97012,82,4,0,0
97014,58,7,0,0
97016,85,1,0,0
97028,34,1,0,0
97048,49,6,0,0
97072,43,18,1,1
97086,50,1,0,0
97096,17,1,0,0
97120,136,2,0,0
97124,22,0,0,0
97126,19,5,0,0
97142,46,16,1,1
97144,82,1,0,0
97150,41,9,0,0
97180,126,16,1,1
97182,138,1,0,0
97184,112,12,1,1
97192,85,2,0,0
97230,71,0,0,0
97232,54,8,0,0
97234,71,0,0,0
97236,39,0,0,0
97240,140,3,0,0
97242,92,0,0,0
97260,153,13,1,1
97270,119,17,1,1
97282,66,1,0,0
97284,67,0,0,0
97300,128,7,0,0
97310,181,6,0,0
97320,161,2,0,0
97340,173,2,0,0
97372,115,7,0,0
97374,171,7,0,0
97378,137,6,0,0
97380,176,7,0,0
97406,39,3,0,0
97430,84,1,0,0
97460,24,1,0,0
97502,31,0,0,0
97530,16,0,0,0
97560,49,0,0,0
97570,28,0,0,0
97580,14,3,0,0
97600,35,0,0,0
97630,61,1,0,0
97682,26,1,0,0
97686,429,1,1,1
97690,19,6,0,0
97692,12,1,0,0
97694,19,2,0,0
97698,12,1,0,0
97700,40,0,0,0
97722,23,2,0,0
97724,730,3,1,1
97726,34,2,0,0
97748,25,1,0,0
97760,18,6,0,0
97780,30,1,0,0
97790,35,1,0,0
97796,9,1,0,0
97810,30,1,0,0
97876,153,3,0,0
97900,878,2,1,1
97980,39,2,0,0
